Year,Month, Price Index Detail - Toronto - Monthly - All Items , Canadian Prime Rate ,Average income,CND TSX Indx,Unemployment Rate, GDP growth ,CND vs USD,,,,,,,,,,,,,
2004,Oct, 104.90 , 0.043 ,," 8,871.00 ",5.9, 0.065 , 0.800 ,,,,,,,,,,,,,
2004,Nov, 105.20 , 0.043 ,," 9,030.10 ",5.9, 0.065 , 0.835 ,,,,,,,,,,,,,
2004,Dec, 105.10 , 0.043 ,," 9,246.70 ",5.9, 0.065 , 0.824 ,,,,,,,,,,,,,
2005,Jan, 105.00 , 0.043 ,," 9,204.10 ",5.7, 0.064 , 0.826 ,,,,,,,,,,,,,
2005,Feb, 105.60 , 0.043 ,," 9,668.30 ",5.7, 0.064 , 0.806 ,,,,,,,,,,,,,
2005,Mar, 106.40 , 0.043 ,," 9,612.40 ",5.7, 0.064 , 0.822 ,,,,,,,,,,,,,
2005,Apr, 106.30 , 0.043 ,," 9,369.30 ",5.7, 0.064 , 0.811 ,,,,,,,,,,,,,
2005,May, 106.50 , 0.043 ,," 9,607.30 ",5.7, 0.064 , 0.796 ,,,,,,,,,,,,,
2005,Jun, 106.50 , 0.043 ,," 9,902.80 ",5.7, 0.064 , 0.806 ,,,,,,,,,,,,,
2005,Jul, 106.60 , 0.043 ,," 10,422.90 ",5.7, 0.064 , 0.817 ,,,,,,,,,,,,,
2005,Aug, 107.20 , 0.043 ,," 10,668.90 ",5.7, 0.064 , 0.829 ,,,,,,,,,,,,,
2005,Sep, 107.70 , 0.045 ,," 11,011.80 ",5.7, 0.064 , 0.848 ,,,,,,,,,,,,,
2005,Oct, 107.40 , 0.048 ,," 10,383.30 ",5.7, 0.064 , 0.850 ,,,,,,,,,,,,,
2005,Nov, 107.20 , 0.048 ,," 10,824.10 ",5.7, 0.064 , 0.846 ,,,,,,,,,,,,,
2005,Dec, 107.40 , 0.050 ,," 11,272.30 ",5.7, 0.064 , 0.861 ,,,,,,,,,,,,,
2006,Jan, 107.90 , 0.053 ,," 11,945.60 ",5.5, 0.053 , 0.863 ,,,,,,,,,,,,,
2006,Feb, 107.60 , 0.053 ,," 11,688.30 ",5.5, 0.053 , 0.870 ,,,,,,,,,,,,,
2006,Mar, 108.50 , 0.055 ,," 12,110.60 ",5.5, 0.053 , 0.865 ,,,,,,,,,,,,,
2006,Apr, 108.70 , 0.058 ,," 12,204.20 ",5.5, 0.053 , 0.873 ,,,,,,,,,,,,,
2006,May, 109.00 , 0.060 ,," 11,744.50 ",5.5, 0.053 , 0.901 ,,,,,,,,,,,,,
2006,Jun, 108.90 , 0.060 ,," 11,612.90 ",5.5, 0.053 , 0.896 ,,,,,,,,,,,,,
2006,Jul, 108.50 , 0.063 ,," 11,831.00 ",5.5, 0.053 , 0.888 ,,,,,,,,,,,,,
2006,Aug, 108.50 , 0.063 ,," 12,073.80 ",5.5, 0.053 , 0.892 ,,,,,,,,,,,,,
2006,Sep, 108.10 , 0.063 ,," 11,761.30 ",5.5, 0.053 , 0.896 ,,,,,,,,,,,,,
2006,Oct, 108.00 , 0.063 ,," 12,344.60 ",5.5, 0.053 , 0.887 ,,,,,,,,,,,,,
2006,Nov, 108.30 , 0.063 ,," 12,752.40 ",5.5, 0.053 , 0.881 ,,,,,,,,,,,,,
2006,Dec, 108.50 , 0.060 ,," 12,908.40 ",5.5, 0.053 , 0.867 ,,,,,,,,,,,,,
2007,Jan, 108.20 , 0.060 ,," 13,034.10 ",5.2, 0.054 , 0.851 ,,,,,,,,,,,,,
2007,Feb, 109.30 , 0.060 ,," 13,045.00 ",5.2, 0.054 , 0.854 ,,,,,,,,,,,,,
2007,Mar, 110.30 , 0.053 ,," 13,165.50 ",5.2, 0.054 , 0.855 ,,,,,,,,,,,,,
2007,Apr, 110.80 , 0.053 ,," 13,416.70 ",5.2, 0.054 , 0.879 ,,,,,,,,,,,,,
2007,May, 111.20 , 0.053 ,," 14,056.80 ",5.2, 0.054 , 0.911 ,,,,,,,,,,,,,
2007,Jun, 110.70 , 0.053 ,," 13,906.60 ",5.2, 0.054 , 0.938 ,,,,,,,,,,,,,
2007,Jul, 110.70 , 0.053 ,," 13,868.60 ",5.2, 0.054 , 0.952 ,,,,,,,,,,,,,
2007,Aug, 110.60 , 0.053 ,," 13,660.50 ",5.2, 0.054 , 0.944 ,,,,,,,,,,,,,
2007,Sep, 110.80 , 0.053 ,," 14,098.90 ",5.2, 0.054 , 0.972 ,,,,,,,,,,,,,
2007,Oct, 110.70 , 0.053 ,," 14,625.00 ",5.2, 0.054 , 1.023 ,,,,,,,,,,,,,
2007,Nov, 111.00 , 0.053 ,," 13,689.10 ",5.2, 0.054 , 1.039 ,,,,,,,,,,,,,
2007,Dec, 111.10 , 0.053 ,," 13,833.10 ",5.2, 0.054 , 0.998 ,,,,,,,,,,,,,
2008,Jan, 110.70 , 0.058 ,," 13,155.10 ",5.3, 0.050 , 0.990 ,,,,,,,,,,,,,
2008,Feb, 111.30 , 0.058 ,," 13,582.70 ",5.3, 0.050 , 0.998 ,,,,,,,,,,,,,
2008,Mar, 111.50 , 0.058 ,," 13,350.10 ",5.3, 0.050 , 1.001 ,,,,,,,,,,,,,
2008,Apr, 112.20 , 0.048 ,," 13,937.00 ",5.3, 0.050 , 0.986 ,,,,,,,,,,,,,
2008,May, 113.30 , 0.048 ,," 14,714.70 ",5.3, 0.050 , 0.999 ,,,,,,,,,,,,,
2008,Jun, 113.80 , 0.048 ,," 14,467.00 ",5.3, 0.050 , 0.985 ,,,,,,,,,,,,,
2008,Jul, 114.90 , 0.048 ,," 13,592.90 ",5.3, 0.050 , 0.987 ,,,,,,,,,,,,,
2008,Aug, 114.70 , 0.048 ,," 13,771.30 ",5.3, 0.050 , 0.952 ,,,,,,,,,,,,,
2008,Sep, 114.90 , 0.048 ,," 11,752.90 ",5.3, 0.050 , 0.944 ,,,,,,,,,,,,,
2008,Oct, 113.70 , 0.043 ,," 9,762.80 ",5.3, 0.050 , 0.858 ,,,,,,,,,,,,,
2008,Oct, 113.70 , 0.040 ,," 9,270.60 ",5.3, 0.050 , 0.821 ,,,,,,,,,,,,,
2008,Nov, 113.50 , 0.040 ,," 8,987.70 ",5.3, 0.050 , 0.812 ,,,,,,,,,,,,,
2008,Dec, 113.00 , 0.033 ,," 8,694.90 ",5.3, 0.050 , 0.816 ,,,,,,,,,,,,,
2009,Jan, 112.50 , 0.028 ,," 8,123.00 ",7.2,-0.052 , 0.805 ,,,,,,,,,,,,,
2009,Feb, 113.20 , 0.028 ,," 8,720.40 ",7.2,-0.052 , 0.792 ,,,,,,,,,,,,,
2009,Mar, 113.80 , 0.025 ,," 9,324.80 ",7.2,-0.052 , 0.815 ,,,,,,,,,,,,,
2009,Apr, 113.10 , 0.023 ,," 10,370.10 ",7.2,-0.052 , 0.867 ,,,,,,,,,,,,,
2009,May, 113.90 , 0.023 ,," 10,374.90 ",7.2,-0.052 , 0.891 ,,,,,,,,,,,,,
2009,Jun, 114.00 , 0.023 ,," 10,787.20 ",7.2,-0.052 , 0.887 ,,,,,,,,,,,,,
2009,Jul, 113.60 , 0.023 ,," 10,868.20 ",7.2,-0.052 , 0.920 ,,,,,,,,,,,,,
2009,Aug, 113.60 , 0.023 ,," 11,395.00 ",7.2,-0.052 , 0.924 ,,,,,,,,,,,,,
2009,Sep, 113.70 , 0.023 ,," 10,910.80 ",7.2,-0.052 , 0.949 ,,,,,,,,,,,,,
2009,Oct, 114.00 , 0.023 ,," 11,447.20 ",7.2,-0.052 , 0.941 ,,,,,,,,,,,,,
2009,Nov, 114.40 , 0.023 ,," 11,746.10 ",7.2,-0.052 , 0.948 ,,,,,,,,,,,,,
2009,Dec, 113.90 , 0.023 ,," 11,094.30 ",7.2,-0.052 , 0.958 ,,,,,,,,,,,,,
2010,Jan, 114.50 , 0.023 ,," 11,629.60 ",7, 0.060 , 0.947 ,,,,,,,,,,,,,
2010,Feb, 115.10 , 0.023 ,," 12,037.70 ",7, 0.060 , 0.977 ,,,,,,,,,,,,,
2010,Mar, 115.30 , 0.023 ,," 12,210.70 ",7, 0.060 , 0.994 ,,,,,,,,,,,,,
2010,Apr, 115.80 , 0.023 ,," 11,763.00 ",7, 0.060 , 0.962 ,,,,,,,,,,,,,
2010,May, 116.30 , 0.023 ,," 11,294.40 ",7, 0.060 , 0.963 ,,,,,,,,,,,,,
2010,Jun, 116.10 , 0.025 ,," 11,713.40 ",7, 0.060 , 0.957 ,,,,,,,,,,,,,
2010,Jul, 117.10 , 0.028 ,," 11,913.90 ",7, 0.060 , 0.962 ,,,,,,,,,,,,,
2010,Aug, 117.10 , 0.028 ,," 12,368.70 ",7, 0.060 , 0.967 ,,,,,,,,,,,,,
2010,Sep, 117.30 , 0.030 ,," 12,676.20 ",7, 0.060 , 0.982 ,,,,,,,,,,,,,
2010,Oct, 117.70 , 0.030 ,," 12,952.90 ",7, 0.060 , 0.988 ,,,,,,,,,,,,,
2010,Nov, 117.80 , 0.030 ,," 13,443.20 ",7, 0.060 , 0.992 ,,,,,,,,,,,,,
2010,Dec, 117.60 , 0.030 ,," 13,552.00 ",7, 0.060 , 1.006 ,,,,,,,,,,,,,
2011,Jan, 117.50 , 0.030 ,," 14,136.50 ",6.5, 0.065 , 1.012 ,,,,,,,,,,,,,
2011,Feb, 117.90 , 0.030 ,," 14,116.10 ",6.5, 0.065 , 1.024 ,,,,,,,,,,,,,
2011,Mar, 119.40 , 0.030 ,," 13,944.80 ",6.5, 0.065 , 1.043 ,,,,,,,,,,,,,
2011,Apr, 119.80 , 0.030 ,," 13,802.90 ",6.5, 0.065 , 1.033 ,,,,,,,,,,,,,
2011,May, 120.80 , 0.030 ,," 13,300.90 ",6.5, 0.065 , 1.022 ,,,,,,,,,,,,,
2011,Jun, 120.20 , 0.030 ,," 12,945.60 ",6.5, 0.065 , 1.046 ,,,,,,,,,,,,,
2011,Jul, 120.40 , 0.030 ,," 12,768.70 ",6.5, 0.065 , 1.018 ,,,,,,,,,,,,,
2011,Aug, 120.50 , 0.030 ,," 11,623.80 ",6.5, 0.065 , 1.001 ,,,,,,,,,,,,,
2011,Sep, 121.20 , 0.030 ,," 12,252.10 ",6.5, 0.065 , 0.977 ,,,,,,,,,,,,,
2011,Oct, 121.20 , 0.030 ,," 12,204.10 ",6.5, 0.065 , 0.976 ,,,,,,,,,,,,,
2011,Nov, 121.10 , 0.030 ,," 11,955.10 ",6.5, 0.065 , 0.977 ,,,,,,,,,,,,,
2011,Dec, 120.90 , 0.030 ,," 12,452.20 ",6.5, 0.065 , 0.984 ,,,,,,,,,,,,,
2012,Jan, 120.70 , 0.030 ,," 12,644.00 ",6.2, 0.030 , 1.002 ,,,,,,,,,,,,,
2012,Feb, 121.50 , 0.030 ,," 12,392.20 ",6.2, 0.030 , 1.007 ,,,,,,,,,,,,,
2012,Mar, 122.00 , 0.030 ,," 12,292.70 ",6.2, 0.030 , 1.006 ,,,,,,,,,,,,,
2012,Apr, 122.40 , 0.030 ,," 11,513.20 ",6.2, 0.030 , 0.991 ,,,,,,,,,,,,,
2012,May, 122.40 , 0.030 ,," 11,596.60 ",6.2, 0.030 , 0.973 ,,,,,,,,,,,,,
2012,Jun, 121.70 , 0.030 ,," 11,664.70 ",6.2, 0.030 , 0.986 ,,,,,,,,,,,,,
2012,Jul, 121.60 , 0.030 ,," 11,949.30 ",6.2, 0.030 , 1.007 ,,,,,,,,,,,,,
2012,Aug, 121.80 , 0.030 ,," 12,317.50 ",6.2, 0.030 , 1.021 ,,,,,,,,,,,,,
2012,Sep, 122.10 , 0.030 ,," 12,422.90 ",6.2, 0.030 , 1.014 ,,,,,,,,,,,,,
2012,Oct, 122.30 , 0.030 ,," 12,239.40 ",6.2, 0.030 , 1.002 ,,,,,,,,,,,,,
2012,Nov, 122.00 , 0.030 ,," 12,433.50 ",6.2, 0.030 , 1.010 ,,,,,,,,,,,,,
2012,Dec, 121.40 , 0.030 ,," 12,685.20 ",6.2, 0.030 , 1.008 ,,,,,,,,,,,,,
2013,Jan, 121.50 , 0.030 ,," 12,821.80 ",6, 0.041 , 0.992 ,,,,,,,,,,,,,
2013,Feb, 122.90 , 0.030 ,," 12,749.90 ",6, 0.041 , 0.976 ,,,,,,,,,,,,,
2013,Mar, 123.30 , 0.030 ,," 12,456.50 ",6, 0.041 , 0.982 ,,,,,,,,,,,,,
2013,Apr, 123.10 , 0.030 ,," 12,650.40 ",6, 0.041 , 0.981 ,,,,,,,,,,,,,
2013,May, 123.20 , 0.030 ,," 12,129.10 ",6, 0.041 , 0.969 ,,,,,,,,,,,,,
2013,Jun, 123.40 , 0.030 ,," 12,486.60 ",6, 0.041 , 0.960 ,,,,,,,,,,,,,
2013,Jul, 123.60 , 0.030 ,," 12,653.90 ",6, 0.041 , 0.962 ,,,,,,,,,,,,,
2013,Aug, 123.70 , 0.030 ,," 12,787.20 ",6, 0.041 , 0.965 ,,,,,,,,,,,,,
2013,Sep, 123.80 , 0.030 ,," 13,361.30 ",6, 0.041 , 0.966 ,,,,,,,,,,,,,
2013,Oct, 123.70 , 0.030 ,," 13,395.40 ",6, 0.041 , 0.954 ,,,,,,,,,,,,,
2013,Nov, 123.60 , 0.030 ,," 13,621.60 ",6, 0.041 , 0.940 ,,,,,,,,,,,,,
2013,Dec, 123.40 , 0.030 ,," 13,694.90 ",6, 0.041 , 0.917 ,,,,,,,,,,,,,
2014,Jan, 123.70 , 0.030 ,," 14,209.60 ",5.9, 0.049 , 0.904 ,,,,,,,,,,,,,
2014,Feb, 125.00 , 0.030 ,," 14,335.30 ",5.9, 0.049 , 0.900 ,,,,,,,,,,,,,
2014,Mar, 125.50 , 0.030 ,," 14,651.90 ",5.9, 0.049 , 0.909 ,,,,,,,,,,,,,
2014,Apr, 126.40 , 0.030 ,," 14,604.20 ",5.9, 0.049 , 0.918 ,,,,,,,,,,,,,
2014,May, 127.00 , 0.030 ,," 15,146.00 ",5.9, 0.049 , 0.924 ,,,,,,,,,,,,,
2014,Jun, 127.40 , 0.030 ,," 15,330.70 ",5.9, 0.049 , 0.932 ,,,,,,,,,,,,,
2014,Jul, 126.90 , 0.030 ,," 15,625.70 ",5.9, 0.049 , 0.916 ,,,,,,,,,,,,,
2014,Aug, 126.90 , 0.030 ,," 14,960.50 ",5.9, 0.049 , 0.909 ,,,,,,,,,,,,,
2014,Sep, 127.20 , 0.030 ,," 14,613.30 ",5.9, 0.049 , 0.891 ,,,,,,,,,,,,,
2014,Oct, 127.40 , 0.030 ,," 14,744.70 ",5.9, 0.049 , 0.884 ,,,,,,,,,,,,,
2014,Nov, 126.90 , 0.030 ,," 14,632.40 ",5.9, 0.049 , 0.867 ,,,,,,,,,,,,,
2014,Dec, 126.20 , 0.030 ,," 14,673.50 ",5.9, 0.049 , 0.827 ,,,,,,,,,,,,,
2015,Jan, 126.30 , 0.030 ,," 15,234.30 ",5.9,-0.002 , 0.799 ,,,,,,,,,,,,,
2015,Feb, 127.20 , 0.029 ,," 14,902.40 ",5.9,-0.002 , 0.793 ,,,,,,,,,,,,,
2015,Mar, 127.90 , 0.029 ,," 15,224.50 ",5.9,-0.002 , 0.809 ,,,,,,,,,,,,,
2015,Apr, 127.70 , 0.029 ,," 15,014.10 ",5.9,-0.002 , 0.821 ,,,,,,,,,,,,,
2015,May, 128.50 , 0.029 ,," 14,553.30 ",5.9,-0.002 , 0.809 ,,,,,,,,,,,,,
2015,Jun, 128.80 , 0.029 ,," 14,468.40 ",5.9,-0.002 , 0.780 ,,,,,,,,,,,,,
2015,Jul, 129.20 , 0.027 ,," 13,859.10 ",5.9,-0.002 , 0.761 ,,,,,,,,,,,,,
2015,Jul, 129.20 , 0.030 ,," 13,307.00 ",5.9,-0.002 , 0.754 ,,,,,,,,,,,,,
2015,Aug, 128.70 , 0.030 ,," 13,529.20 ",5.9,-0.002 , 0.765 ,,,,,,,,,,,,,
2015,Sep, 129.00 , 0.030 ,," 13,469.80 ",5.9,-0.002 , 0.753 ,,,,,,,,,,,,,
2015,Oct, 129.00 , 0.030 ,," 13,010.00 ",5.9,-0.002 , 0.730 ,,,,,,,,,,,,,
2015,Nov, 129.10 , 0.030 ,," 12,822.10 ",5.9,-0.002 , 0.705 ,,,,,,,,,,,,,
2015,Dec, 128.70 , 0.030 ,," 12,860.40 ",5.9,-0.002 , 0.724 ,,,,,,,,,,,,,
2016,Jan, 129.00 , 0.030 ,," 13,494.40 ",6.1, 0.018 , 0.755 ,,,,,,,,,,,,,
2016,Feb, 129.40 , 0.030 ,," 13,951.50 ",6.1, 0.018 , 0.779 ,,,,,,,,,,,,,
2016,Mar, 130.30 , 0.030 ,," 14,065.80 ",6.1, 0.018 , 0.773 ,,,,,,,,,,,,,
2016,Apr, 130.70 , 0.030 ,," 14,064.50 ",6.1, 0.018 , 0.775 ,,,,,,,,,,,,,
2016,May, 131.20 , 0.030 ,," 14,582.70 ",6.1, 0.018 , 0.767 ,,,,,,,,,,,,,
2016,Jun, 131.50 , 0.030 ,," 14,598.00 ",6.1, 0.018 , 0.770 ,,,,,,,,,,,,,
2016,Jul, 131.40 , 0.030 ,," 14,725.90 ",6.1, 0.018 , 0.763 ,,,,,,,,,,,,,
2016,Aug, 131.10 , 0.030 ,," 14,787.30 ",6.1, 0.018 , 0.755 ,,,,,,,,,,,,,
2016,Sep, 131.70 , 0.030 ,," 15,082.90 ",6.1, 0.018 , 0.743 ,,,,,,,,,,,,,
2016,Oct, 132.00 , 0.030 ,," 15,287.60 ",6.1, 0.018 , 0.749 ,,,,,,,,,,,,,
2016,Nov, 131.70 , 0.030 ,," 15,386.00 ",6.1, 0.018 , 0.757 ,,,,,,,,,,,,,
2016,Dec, 131.50 , 0.030 ,," 15,399.20 ",6.1, 0.018 , 0.763 ,,,,,,,,,,,,,
2017,Jan, 132.10 , 0.030 ,," 15,547.80 ",5.6, 0.057 , 0.747 ,,,,,,,,,,,,,
2017,Feb, 132.50 , 0.030 ,," 15,586.10 ",5.6, 0.057 , 0.744 ,,,,,,,,,,,,,
2017,Mar, 133.00 , 0.030 ,," 15,349.90 ",5.6, 0.057 , 0.736 ,,,,,,,,,,,,,
2017,Apr, 133.60 , 0.030 ,," 15,182.20 ",5.6, 0.057 , 0.751 ,,,,,,,,,,,,,
2017,May, 133.70 , 0.030 ,," 15,143.90 ",5.6, 0.057 , 0.788 ,,,,,,,,,,,,,
2017,Jun, 134.20 , 0.030 ,," 15,211.90 ",5.6, 0.057 , 0.793 ,,,,,,,,,,,,,
2017,Jul, 134.00 , 0.030 ,," 15,634.90 ",5.6, 0.057 , 0.814 ,,,,,,,,,,,,,
2017,Aug, 133.80 , 0.030 ,," 16,025.60 ",5.6, 0.057 , 0.793 ,,,,,,,,,,,,,
2017,Sep, 134.40 , 0.032 ,," 16,067.50 ",5.6, 0.057 , 0.784 ,,,,,,,,,,,,,
2017,Oct, 134.30 , 0.032 ,," 16,209.10 ",5.6, 0.057 , 0.784 ,,,,,,,,,,,,,
2017,Nov, 134.60 , 0.032 ,," 15,951.70 ",5.6, 0.057 , 0.804 ,,,,,,,,,,,,,
2017,Dec, 134.00 , 0.032 ,," 15,442.70 ",5.6, 0.057 , 0.795 ,,,,,,,,,,,,,
2018,Jan, 135.30 , 0.035 ,," 15,367.30 ",5, 0.044 , 0.773 ,,,,,,,,,,,,,
2018,Feb, 136.00 , 0.035 ,," 15,607.90 ",5, 0.044 , 0.785 ,,,,,,,,,,,,,
2018,Mar, 136.70 , 0.035 ,," 16,061.50 ",5, 0.044 , 0.777 ,,,,,,,,,,,,,
2018,Apr, 136.80 , 0.035 ,," 16,277.70 ",5, 0.044 , 0.762 ,,,,,,,,,,,,,
2018,May, 136.70 , 0.035 ,," 16,434.00 ",5, 0.044 , 0.761 ,,,,,,,,,,,,,
2018,Jun, 137.50 , 0.035 ,," 16,262.90 ",5, 0.044 , 0.766 ,,,,,,,,,,,,,
2018,Jul, 138.00 , 0.037 ,," 16,073.10 ",5, 0.044 , 0.767 ,,,,,,,,,,,,,
2018,Aug, 137.90 , 0.037 ,," 15,027.30 ",5, 0.044 , 0.768 ,,,,,,,,,,,,,
2018,Sep, 137.40 , 0.037 ,," 15,197.80 ",5, 0.044 , 0.758 ,,,,,,,,,,,,,
2018,Oct, 137.90 , 0.040 ,," 14,322.90 ",5, 0.044 , 0.743 ,,,,,,,,,,,,,
2018,Nov, 137.40 , 0.040 ,," 15,540.60 ",5, 0.044 , 0.752 ,,,,,,,,,,,,,
2018,Dec, 137.50 , 0.040 ,," 15,999.00 ",5, 0.044 , 0.757 ,,,,,,,,,,,,,
2019,Jan, 137.70 , 0.040 ,," 16,102.10 ",4.8, 0.035 , 0.748 ,,,,,,,,,,,,,
2019,Feb, 138.60 , 0.040 ,," 16,580.70 ",4.8, 0.035 , 0.747 ,,,,,,,,,,,,,
2019,Mar, 139.50 , 0.040 ,," 16,037.50 ",4.8, 0.035 , 0.743 ,,,,,,,,,,,,,
2019,Apr, 139.80 , 0.040 ,," 16,382.20 ",4.8, 0.035 , 0.752 ,,,,,,,,,,,,,
2019,May, 140.30 , 0.040 ,," 16,406.60 ",4.8, 0.035 , 0.763 ,,,,,,,,,,,,,
2019,Jun, 140.30 , 0.040 ,," 16,442.10 ",4.8, 0.035 , 0.753 ,,,,,,,,,,,,,
