Date, Price_Index_Detail_Toronto_Monthly_All_Items , Canadian_Prime_Rate ,CND_TSX_Indx,Unemployment_Rate, GDP_growth ,CND_USD_Exchange
2004-10-01,104.9,0.043,0.023,0.059,0.065,0.8
2004-11-01,105.2,0.043,0.018,0.059,0.065,0.835
2004-12-01,105.1,0.043,0.024,0.059,0.065,0.824
2005-01-01,105,0.043,-0.005,0.057,0.064,0.826
2005-02-01,105.6,0.043,0.050,0.057,0.064,0.806
2005-03-01,106.4,0.043,-0.006,0.057,0.064,0.822
2005-04-01,106.3,0.043,-0.025,0.057,0.064,0.811
2005-05-01,106.5,0.043,0.025,0.057,0.064,0.796
2005-06-01,106.5,0.043,0.031,0.057,0.064,0.806
2005-07-01,106.6,0.043,0.053,0.057,0.064,0.817
2005-08-01,107.2,0.043,0.024,0.057,0.064,0.829
2005-09-01,107.7,0.045,0.032,0.057,0.064,0.848
2005-10-01,107.4,0.048,-0.057,0.057,0.064,0.85
2005-11-01,107.2,0.048,0.042,0.057,0.064,0.846
2005-12-01,107.4,0.05,0.041,0.057,0.064,0.861
2006-01-01,107.9,0.053,0.060,0.055,0.053,0.863
2006-02-01,107.6,0.053,-0.022,0.055,0.053,0.87
2006-03-01,108.5,0.055,0.036,0.055,0.053,0.865
2006-04-01,108.7,0.058,0.008,0.055,0.053,0.873
2006-05-01,109,0.06,-0.038,0.055,0.053,0.901
2006-06-01,108.9,0.06,-0.011,0.055,0.053,0.896
2006-07-01,108.5,0.063,0.019,0.055,0.053,0.888
2006-08-01,108.5,0.063,0.021,0.055,0.053,0.892
2006-09-01,108.1,0.063,-0.026,0.055,0.053,0.896
2006-10-01,108,0.063,0.050,0.055,0.053,0.887
2006-11-01,108.3,0.063,0.033,0.055,0.053,0.881
2006-12-01,108.5,0.06,0.012,0.055,0.053,0.867
2007-01-01,108.2,0.06,0.010,0.052,0.054,0.851
2007-02-01,109.3,0.06,0.001,0.052,0.054,0.854
2007-03-01,110.3,0.053,0.009,0.052,0.054,0.855
2007-04-01,110.8,0.053,0.019,0.052,0.054,0.879
2007-05-01,111.2,0.053,0.048,0.052,0.054,0.911
2007-06-01,110.7,0.053,-0.011,0.052,0.054,0.938
2007-07-01,110.7,0.053,-0.003,0.052,0.054,0.952
2007-08-01,110.6,0.053,-0.015,0.052,0.054,0.944
2007-09-01,110.8,0.053,0.032,0.052,0.054,0.972
2007-10-01,110.7,0.053,0.037,0.052,0.054,1.023
2007-11-01,111,0.053,-0.064,0.052,0.054,1.039
2007-12-01,111.1,0.053,0.011,0.052,0.054,0.998
2008-01-01,110.7,0.058,-0.049,0.053,0.05,0.99
2008-02-01,111.3,0.058,0.033,0.053,0.05,0.998
2008-03-01,111.5,0.058,-0.017,0.053,0.05,1.001
2008-04-01,112.2,0.048,0.044,0.053,0.05,0.986
2008-05-01,113.3,0.048,0.056,0.053,0.05,0.999
2008-06-01,113.8,0.048,-0.017,0.053,0.05,0.985
2008-07-01,114.9,0.048,-0.060,0.053,0.05,0.987
2008-08-01,114.7,0.048,0.013,0.053,0.05,0.952
2008-09-01,114.9,0.048,-0.147,0.053,0.05,0.944
2008-10-01,113.7,0.043,-0.169,0.053,0.05,0.858
2008-11-01,113.5,0.04,-0.050,0.053,0.05,0.812
2008-12-01,113,0.033,-0.031,0.053,0.05,0.816
2009-01-01,112.5,0.028,-0.033,0.072,-0.052,0.805
2009-02-01,113.2,0.028,-0.066,0.072,-0.052,0.792
2009-03-01,113.8,0.025,0.074,0.072,-0.052,0.815
2009-04-01,113.1,0.023,0.069,0.072,-0.052,0.867
2009-05-01,113.9,0.023,0.112,0.072,-0.052,0.891
2009-06-01,114,0.023,0.000,0.072,-0.052,0.887
2009-07-01,113.6,0.023,0.040,0.072,-0.052,0.92
2009-08-01,113.6,0.023,0.008,0.072,-0.052,0.924
